core/section;mbsf;3He (pcc/g);3He/4He(x10-8);extraterrestrial 3He (pcc/g);3 He +/-;Carbonate Fraction;DBD (g/cm3);LSR (cm/kyr);LSR +/- 2 sigma;mean Depth (mbsf);Thickness (cm)
19H-4W-104-105;172.47;0.220584426;32.44775576;0.193391868;0.013596279;0.863132121;1.309230769;2.709378642;0.406406796;172.53;12
19H-5W-1-2;172.59;0.357095661;40.27362342;0.321628723;0.01773347;0.840601354;1.209884615;1.762890492;0.264433574;172.635;9
19H-5W-10-11;172.68;0.244154844;39.00160877;0.219114364;0.012520241;0.879214271;1.335884615;2.34360448;0.351540672;172.73;10
19H-5W-20-21;172.78;0.420069215;45.50692488;0.383145688;0.018461764;0.851432292;1.394846154;1.283612283;0.192541842;172.83;10
19H-5W-30-31;172.88;0.603355801;52.45641412;0.557347661;0.023004071;0.851432292;1.427961538;0.861948708;0.129292306;172.93;10
19H-5W-40-41;172.98;0.694679436;86.16554763;0.662430868;0.016124284;0.790625625;1.294692308;0.799865539;0.119979831;173.03;10
19H-5W-50-51;173.08;0.279185501;35.96732881;0.248136722;0.01552439;0.834729703;1.346384615;2.0533545;0.308003175;173.13;10
19H-5W-60-61;173.18;0.463800991;34.6577594;0.410271755;0.026764619;0.783494855;1.425538462;1.172933951;0.175940093;173.23;10
19H-5W-70-71;173.28;0.617664993;31.92134791;0.540266655;0.038699171;0.731675654;1.385961538;0.916146177;0.137421927;173.33;10
19H-5W-80-81;173.38;0.305698165;30.24824064;0.265272926;0.02021262;0.731675654;1.359307692;1.902450707;0.285367606;173.43;10
19H-5W-90-91;173.48;0.417677704;36.4018038;0.371781344;0.022948181;0.73845231;1.303576923;1.415467359;0.212320104;173.53;10
19H-5W-100-101;173.58;0.410812387;36.77210299;0.366125005;0.022343692;0.833366693;1.325384615;1.413685488;0.212052823;173.62;8
19H-5W-108-109;173.66;0.335369945;37.23575512;0.2993433;0.018013323;0.833366693;1.346384615;1.702101416;0.255315212;0;0
